"year","make","model","engine.fuel.type","engine.hp","engine.cylinders","transmission.type","driven_wheels","number.of.doors","market.category","vehicle.size","vehicle.style","popularity","msrp"
1996,"Ford","Bronco","regular unleaded",199,"8","MANUAL","four wheel drive",2,"N/A","Midsize","2dr SUV",5657,2774
1992,"Infiniti","M30","regular unleaded",162,"6","AUTOMATIC","rear wheel drive",2,"Luxury","Midsize","Coupe",190,2000
2008,"Chevrolet","Uplander","regular unleaded",240,"6","AUTOMATIC","front wheel drive",4,"Flex Fuel","Compact","Passenger Minivan",1385,21540
2010,"Chrysler","Sebring","regular unleaded",235,"6","AUTOMATIC","front wheel drive",2,"N/A","Midsize","Convertible",1013,32710
1998,"Oldsmobile","Achieva","regular unleaded",150,"6","AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",26,2000
2013,"Suzuki","Kizashi","regular unleaded",180,"4","AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",481,25799
2017,"Audi","TT","premium unleaded (recommended)",220,"4","AUTOMATED_MANUAL","all wheel drive",2,"Luxury","Compact","Convertible",3105,47000
2017,"Acura","MDX","premium unleaded (recommended)",290,"6","AUTOMATIC","all wheel drive",4,"Crossover,Luxury","Midsize","4dr SUV",204,56400
1991,"Porsche","944","regular unleaded",208,"4","MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",1715,3578
2017,"Kia","Rio","regular unleaded",138,"4","AUTOMATIC","front wheel drive",4,"N/A","Compact","Sedan",1720,17755
2016,"Mazda","CX-5","regular unleaded",155,"4","MANUAL","front wheel drive",4,"Crossover","Midsize","4dr SUV",586,21795
2016,"Scion","FR-S","premium unleaded (required)",200,"4","MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",105,25305
2008,"Pontiac","Grand Prix","regular unleaded",200,"6","AUTOMATIC","front wheel drive",4,"N/A","Large","Sedan",210,22210
2017,"Mercedes-Benz","GLC-Class","premium unleaded (recommended)",241,"4","AUTOMATIC","rear wheel drive",4,"Crossover,Luxury","Midsize","4dr SUV",617,39150
1996,"Chevrolet","Caprice","regular unleaded",260,"8","AUTOMATIC","rear wheel drive",4,"N/A","Large","Wagon",1385,2000
2016,"Nissan","Quest","regular unleaded",260,"6","AUTOMATIC","front wheel drive",4,"N/A","Compact","Passenger Minivan",2009,26580
2017,"Audi","Q3","premium unleaded (recommended)",200,"4","AUTOMATIC","front wheel drive",4,"Crossover,Luxury","Compact","4dr SUV",3105,34500
2003,"Audi","RS 6","premium unleaded (required)",450,"8","AUTOMATIC","all wheel drive",4,"Factory Tuner,Luxury,High-Performance","Midsize","Sedan",3105,82700
2017,"Chevrolet","Bolt EV","electric",200,"0","DIRECT_DRIVE","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",1385,40905
2017,"Mercedes-Benz","GLS-Class","premium unleaded (required)",577,"8","AUTOMATIC","all wheel drive",4,"Crossover,Factory Tuner,Luxury,High-Performance","Large","4dr SUV",617,124100
2001,"Honda","Prelude","premium unleaded (required)",200,"4","MANUAL","front wheel drive",2,"Factory Tuner,Performance","Compact","Coupe",2202,26100
2017,"Chevrolet","Tahoe","flex-fuel (unleaded/E85)",355,"8","AUTOMATIC","four wheel drive",4,"Flex Fuel,Performance","Large","4dr SUV",1385,50215
2003,"Mazda","Protege5","regular unleaded",130,"4","MANUAL","front wheel drive",4,"N/A","Compact","Wagon",586,16895
2016,"Cadillac","SRX","regular unleaded",308,"6","AUTOMATIC","front wheel drive",4,"Crossover,Luxury","Midsize","4dr SUV",1624,37605
1993,"Dodge","RAM 250","regular unleaded",230,"8","MANUAL","four wheel drive",2,"N/A","Large","Extended Cab Pickup",1851,2073
2006,"Lexus","RX 330","regular unleaded",223,"6","AUTOMATIC","front wheel drive",4,"Crossover,Luxury","Midsize","4dr SUV",454,36370
2004,"Chrysler","300M","regular unleaded",250,"6","AUTOMATIC","front wheel drive",4,"Performance","Large","Sedan",1013,29185
2004,"Chevrolet","Tracker","regular unleaded",165,"6","AUTOMATIC","four wheel drive",4,"N/A","Compact","4dr SUV",1385,22315
2017,"BMW","ALPINA B6 Gran Coupe","premium unleaded (required)",600,"8","AUTOMATIC","all wheel drive",4,"Factory Tuner,Luxury,High-Performance","Large","Sedan",3916,122500
2005,"Hyundai","XG350","regular unleaded",194,"6","AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",1439,24899
2014,"Ford","E-Series Van","flex-fuel (unleaded/E85)",225,"8","AUTOMATIC","rear wheel drive",3,"Flex Fuel","Midsize","Cargo Van",5657,28600
2017,"Lincoln","MKC","regular unleaded",240,"4","AUTOMATIC","all wheel drive",4,"Crossover,Luxury","Compact","4dr SUV",61,41895
