"year","make","model","engine.fuel.type","engine.hp","engine.cylinders","transmission.type","driven_wheels","number.of.doors","market.category","vehicle.size","vehicle.style","highway.mpg","popularity","msrp"
2017,"BMW","2 Series","premium unleaded (recommended)",335,6,"AUTOMATIC","all wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",31,3916,46450
2017,"Chrysler","200","flex-fuel (unleaded/E85)",295,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",28,1013,29905
2017,"BMW","3 Series Gran Turismo","premium unleaded (required)",320,6,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury,Performance","Midsize","4dr Hatchback",30,3916,49650
2017,"Chrysler","300","regular unleaded",292,6,"AUTOMATIC","all wheel drive",4,"N/A","Large","Sedan",27,1013,41135
2017,"Nissan","370Z","premium unleaded (required)",332,6,"MANUAL","rear wheel drive",2,"High-Performance","Compact","Coupe",26,2009,37970
2017,"Mazda","3","regular unleaded",155,4,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",37,586,21495
2017,"BMW","4 Series Gran Coupe","premium unleaded (recommended)",320,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",32,3916,48300
2017,"BMW","4 Series","premium unleaded (recommended)",248,4,"AUTOMATIC","rear wheel drive",2,"Luxury","Midsize","Convertible",34,3916,50300
2017,"BMW","5 Series Gran Turismo","premium unleaded (required)",300,6,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury","Large","4dr Hatchback",26,3916,63200
2017,"FIAT","500e","electric",111,0,"DIRECT_DRIVE","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",103,819,31800
2017,"FIAT","500","premium unleaded (recommended)",160,4,"MANUAL","front wheel drive",2,"Hatchback,Factory Tuner,Performance","Compact","2dr Hatchback",33,819,19995
2017,"FIAT","500L","premium unleaded (recommended)",160,4,"AUTOMATIC","front wheel drive",4,"N/A","Compact","Wagon",30,819,23695
2017,"FIAT","500X","regular unleaded",180,4,"AUTOMATIC","all wheel drive",4,"Crossover","Compact","4dr SUV",29,819,27035
2017,"BMW","6 Series","premium unleaded (required)",445,8,"AUTOMATIC","all wheel drive",2,"Luxury,High-Performance","Midsize","Coupe",24,3916,92000
2017,"Mazda","6","regular unleaded",184,4,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",35,586,30695
2017,"BMW","7 Series","premium unleaded (required)",445,8,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Large","Sedan",26,3916,94600
2017,"Toyota","86","premium unleaded (recommended)",205,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",28,2031,26255
2017,"Porsche","911","premium unleaded (required)",540,6,"AUTOMATED_MANUAL","all wheel drive",2,"Luxury,High-Performance","Compact","Coupe",29,1715,159200
2017,"Audi","A3","premium unleaded (recommended)",220,4,"AUTOMATED_MANUAL","all wheel drive",4,"Luxury","Compact","Sedan",35,3105,43150
2017,"Audi","A4 allroad","premium unleaded (recommended)",252,4,"AUTOMATED_MANUAL","all wheel drive",4,"Luxury","Midsize","Wagon",28,3105,51400
2017,"Audi","A4","premium unleaded (recommended)",252,4,"AUTOMATED_MANUAL","front wheel drive",4,"Luxury,Performance","Midsize","Sedan",33,3105,37300
2017,"Audi","A5","flex-fuel (premium unleaded recommended/E85)",220,4,"MANUAL","all wheel drive",2,"Flex Fuel,Luxury","Midsize","Coupe",32,3105,41200
2017,"Audi","A6","premium unleaded (recommended)",252,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",31,3105,53800
2017,"Audi","A7","premium unleaded (required)",333,6,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Large","Sedan",29,3105,68800
2017,"Audi","A8","premium unleaded (required)",450,8,"AUTOMATIC","all wheel drive",4,"Luxury,High-Performance","Large","Sedan",29,3105,91500
2017,"GMC","Acadia Limited","regular unleaded",281,6,"AUTOMATIC","front wheel drive",4,"Crossover","Midsize","4dr SUV",22,549,43850
2017,"Honda","Accord Hybrid","regular unleaded",212,4,"AUTOMATIC","front wheel drive",4,"Hybrid","Midsize","Sedan",47,2202,29605
2017,"BMW","ALPINA B7","premium unleaded (required)",600,8,"AUTOMATIC","all wheel drive",4,"Factory Tuner,Luxury,High-Performance","Large","Sedan",24,3916,137000
2017,"Nissan","Altima","regular unleaded",179,4,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",39,2009,25460
2017,"Mercedes-Benz","AMG GT","premium unleaded (required)",503,8,"AUTOMATIC","rear wheel drive",2,"Exotic,Factory Tuner,Luxury,High-Performance","Compact","Coupe",22,617,131200
2017,"Cadillac","ATS","regular unleaded",335,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",30,1624,46995
2017,"Toyota","Avalon Hybrid","regular unleaded",200,4,"AUTOMATIC","front wheel drive",4,"Hybrid","Midsize","Sedan",39,2031,42550
2017,"Toyota","Avalon","regular unleaded",268,6,"AUTOMATIC","front wheel drive",4,"Performance","Midsize","Sedan",30,2031,41050
2017,"Hyundai","Azera","regular unleaded",293,6,"AUTOMATIC","front wheel drive",4,"Performance","Midsize","Sedan",28,1439,34100
2017,"Mercedes-Benz","B-Class Electric Drive","electric",177,0,"DIRECT_DRIVE","front wheel drive",4,"Hatchback,Luxury","Compact","4dr Hatchback",82,617,39900
2017,"Volkswagen","Beetle","regular unleaded",170,4,"AUTOMATIC","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",33,873,20475
2017,"Mercedes-Benz","C-Class","premium unleaded (required)",241,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",34,617,39850
2017,"Kia","Cadenza","regular unleaded",290,6,"AUTOMATIC","front wheel drive",4,"Performance","Midsize","Sedan",28,1720,38990
2017,"Chevrolet","Camaro","premium unleaded (recommended)",455,8,"MANUAL","rear wheel drive",2,"High-Performance","Midsize","Convertible",25,1385,42905
